model,g,lam,mu,seed,warmup,horizon,L,Lq,utilization,W_mean,Wq_mean,Pwait_sim,Pwait_theory,n_samples,obs_time,arrivals_obs,lambda_hat,rho_theory,little_L_error,little_Lq_error,L_theory,Lq_theory,W_theory,Wq_theory
mmg,3,2.55,1.0,138,10000.0,200000.0,6.902827997556667,4.346651754580822,0.8520587476585825,2.699098620914677,1.6996055411025768,0.733401932436743,0.7303766105054509,485915,190000.0,485916,2.5574526315789474,0.85,1.6118911441795645e-06,2.049659974220154e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,139,10000.0,200000.0,6.6710039478634116,4.1188332804735355,0.8507235557965483,2.6149320951005333,1.6144323500605953,0.7300782612104593,0.7303766105054509,484659,190000.0,484681,2.5509526315789475,0.85,6.536324515219507e-05,0.00011965247115300184,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,140,10000.0,200000.0,6.61417876468599,4.0702404067004245,0.8479794526619191,2.596519099452351,1.5978461629986336,0.7259916773076462,0.7303766105054509,483978,190000.0,483992,2.5473263157894737,0.85,4.03194268568463e-07,1.1859522501257448e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,141,10000.0,200000.0,6.485471296746679,3.944980901830614,0.8468301316387409,2.545678176096111,1.5484879167929182,0.7238154265703927,0.7303766105054509,484035,190000.0,484044,2.5476,0.85,1.5661980383344204e-05,1.3456341182954745e-05,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,142,10000.0,200000.0,6.752469976671931,4.1982716043999355,0.8513994574239337,2.6487358399627188,1.6468240333862847,0.7325889880110579,0.7303766105054509,484363,190000.0,484370,2.549315789473684,0.85,8.704533528262301e-07,6.922840472442801e-07,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,4,3.4,1.0,123,10000.0,200000.0,7.289431507869522,3.8940000270184916,0.8488578702129075,2.142964622434259,1.1447721420788313,0.6874204114851933,0.6893162216811786,646293,190000.0,646300,3.4015789473684213,0.85,4.367522780990322e-06,8.420906647291771e-06,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,124,10000.0,200000.0,7.285878355337002,3.879743912432435,0.8515336107261317,2.141922284889681,1.1405820037282657,0.6901007900429217,0.6893162216811786,646294,190000.0,646296,3.401557894736842,0.85,7.819589423924463e-07,3.04322771809707e-06,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,125,10000.0,200000.0,7.374141559062678,3.964568409590595,0.8523932873679541,2.1687875392290787,1.1660110383743398,0.6941711879755114,0.6893162216811786,646015,190000.0,646022,3.400115789473684,0.85,1.7361907154827373e-06,1.0424051691478068e-06,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,126,10000.0,200000.0,7.335701353589083,3.9370506228806543,0.8496626826771796,2.1578177469660567,1.1580978450369688,0.6884425611498762,0.6893162216811786,645913,190000.0,645921,3.399584210526316,0.85,2.4826269404841904e-06,1.3343785163811462e-07,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,127,10000.0,200000.0,7.327887050735098,3.934802888337736,0.848271040599381,2.1571710408940703,1.158308263562666,0.6866372798896834,0.6893162216811786,645415,190000.0,645426,3.396978947368421,0.85,3.0621303199036874e-06,1.374972368952308e-05,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,128,10000.0,200000.0,7.415055259163004,4.0133045325946775,0.8504376816419996,2.178017759247527,1.1788295973851848,0.6908954021726864,0.6893162216811786,646849,190000.0,646855,3.4045,0.85,8.364327690059115e-07,5.1906609664429866e-06,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,129,10000.0,200000.0,7.238886184671377,3.8442381299229034,0.8486620136872044,2.129331006621406,1.1307964317156125,0.6870638979070196,0.6893162216811786,645921,190000.0,645923,3.399594736842105,0.85,3.2742007454805887e-06,2.9831079497144954e-06,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,130,10000.0,200000.0,7.246926968644215,3.8497774986518585,0.8492873674980166,2.130088679857756,1.1315609922479328,0.6876406823606945,0.6893162216811786,646403,190000.0,646412,3.4021684210526315,0.85,9.007942947998476e-07,4.266306550305971e-06,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
mmg,4,3.4,1.0,131,10000.0,200000.0,7.276342702063752,3.876973004305569,0.8498424244395579,2.140489171736006,1.1404488937399053,0.6881625359623669,0.6893162216811786,645814,190000.0,645815,3.399026315789474,0.85,0.00010495364249906484,0.0001437210602236594,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308
